City,Population,"Acres per 1,000 people","Parks per 10,000 residents",Parks as % City Area,Fields/ Diamonds,Tennis_dedicdated,Pickleball_dedicated,Pickleball_combined,Hoops,Community_garden_sites,Dog_parks,Playgrounds,Rec_senior_centers,Restrooms,Skateparks,Splashpads,Swimming_pools,Disc_golf_courses,investment_dollars
"Denver, CO",737871.0,9.608725644455467,4.363906428088379,0.09496129222362112,4.2419338881728645,3.903121277296438,1.084200354804566,1.084200354804566,4.838244083315376,0.013552504435057075,1.8973506209079904,3.7404912240757526,0.8131502661034246,1.2874879213304222,1.084200354804566,3.2526010644136987,4.472326463568836,0.2710500887011415,214.00773871611705
"Detroit, MI",633883.0,8.048803959090241,4.795837717686071,0.058087506973460996,3.4391204686038273,2.713434498164488,0.31551563932145205,0.5048250229143233,2.9185196637234316,0.006310312786429042,1.2620625572858084,4.811613499652144,0.5679281507786137,0.5521523688125411,0.9465469179643562,1.8930938359287124,1.104304737625082,0.15775781966072605,89.47188902052902
"Durham, NC",297524.0,9.263118269450532,0.0,0.036772162032342424,0.9747112837955929,5.108831556445867,1.3444293569594385,1.3444293569594385,4.201341740498245,0.0033610733923985963,1.3444293569594385,3.6635699977144704,0.6722146784797193,2.823301649614821,0.33610733923985964,1.3444293569594385,1.680536696199298,1.3444293569594385,61.02733870208791
"El Paso, TX",677078.0,43.52814594478037,3.721875470772939,0.18136249792311526,3.470796569966828,0.7089286610996074,0.11815477684993457,0.827083437949542,3.736644817879181,0.004430804131872546,0.7384673553120911,2.628943784911044,0.8861608263745092,0.915699520586993,1.7723216527490184,1.4769347106241821,2.3630955369986912,0.0,60.51234441231291
"Fort Worth, TX",959408.0,13.306122108633657,3.10608208395177,0.05807109000427595,1.657271984390374,1.3341560629054583,0.5211547120724447,0.5211547120724447,2.1992728849457164,0.0,0.5211547120724447,2.1888497907042677,0.4586161466237513,0.1667695078631823,0.5211547120724447,0.10423094241448892,0.3126928272434668,0.4169237696579557,106.34487415218551
"Fremont, CA",234614.0,93.58951298728977,3.1541169751165747,0.4397902938289903,1.7049280946576078,3.3246097845823352,0.5967248331301627,0.8524640473288039,2.21640652305489,0.0042623202366440195,2.13116011832201,2.0032905112226893,0.6819712378630431,3.836088212979617,0.42623202366440194,0.42623202366440194,0.42623202366440194,0.0,111.89267152855327
"Fresno, CA",512719.0,4.838400761430725,3.2571447518036196,0.03419964983387788,1.93088221813508,1.287254812090053,0.0,0.2730540510494052,2.008897661292053,0.013652702552470261,2.9255791183864845,1.6773320278749178,0.858169874726702,1.189735508143837,2.1454246868167552,1.3652702552470262,2.1454246868167552,0.1950386078924323,103.31422707564961
"Garland, TX",250176.0,11.795695830135585,2.4382834484522893,0.08112268741237595,2.518227168073676,2.7980301867485293,0.0,0.0,2.038564850345357,0.003997185981069328,0.3997185981069327,1.6388462522384242,0.6395497569710924,0.7594653364031722,0.3997185981069327,1.1991557943207982,0.3997185981069327,0.3997185981069327,167.4547277292786
"Gilbert, AZ",278380.0,4.842301889503556,1.4728069545225952,0.03069566207446203,1.885911344205762,0.9339751418923774,1.1495078669444645,1.1495078669444645,1.400962712838566,0.0,0.7184424168402903,1.1495078669444645,0.2873769667361161,0.6106760543142467,0.35922120842014515,1.0776636252604355,1.4368848336805806,0.35922120842014515,100.3377453437747
"Glendale, AZ",256276.0,8.194290530521782,2.8875119012314845,0.04891912038762579,1.7949398304952473,2.731430176840594,0.7804086219544554,0.7804086219544554,3.745961385381386,0.0,1.170612932931683,2.8875119012314845,0.3902043109772277,0.7023677597590098,0.7804086219544554,1.5608172439089107,0.7804086219544554,1.170612932931683,76.19256052068863
"Greensboro, NC",276193.0,30.269014783140776,7.603378796710996,0.09874433053009543,1.882741416328437,3.9103090954513693,0.4344787883834854,0.7241313139724758,3.3310040442733886,0.018103282849311893,1.0861969709587136,3.6930697012596267,0.8689575767669708,1.556882325040823,0.7241313139724758,1.0861969709587136,1.8103282849311892,0.7241313139724758,96.08800600739339
"Henderson, NV",340256.0,16.305370074297,2.1454434308285526,0.08256566708832502,1.704598890247343,3.350418508417192,0.23511708830997838,0.23511708830997838,8.434825543120475,0.0029389636038747295,5.584030847361986,2.792015423680993,0.47023417661995676,2.4393397912160255,2.057274522712311,5.877927207749459,3.8206526850371483,0.0,161.03897324367534
"Honolulu, HI",1017394.0,65.3270021250371,3.951271582100936,0.17592936704571926,3.499136027930182,3.970929649673578,0.5307678244613198,3.7546909063745217,3.6858876698702763,0.01081193716495281,0.8846130407688664,1.4448679665891484,1.611961540956601,2.5260616830844294,1.4743550679481106,0.0,2.0640970951273547,0.09829033786320737,99.6540546061801
"Houston, TX",2275767.0,19.79950056398568,3.0890684327525624,0.12805595816636828,2.6716267526508646,1.8455316383443472,0.5536594915033042,1.0985307371097304,3.945922407698152,0.013182368845316766,1.230354425562898,2.5529854330430135,0.7118479176471053,1.001860032244074,0.4833535243282814,1.7576491793755689,1.8015904088599581,0.5272947538126707,134.44647186838546
"Irvine, CA",323475.0,34.03045057577865,10.54177293453899,0.2621514133981091,5.008115001159286,6.244686606383802,0.49462864208980606,1.1747430249632893,14.83885926269418,0.009274287039183862,0.6182858026122575,3.6478862354123196,1.483885926269418,5.193600741942963,0.30914290130612876,0.6182858026122575,2.47314321044903,0.30914290130612876,1067.0405515208286
"Irving, TX",259205.0,7.638741536621593,3.8965297737312166,0.0539568345323741,2.0832931463513433,0.9259080650450415,0.23147701626126038,0.23147701626126038,2.0447136436411335,0.0,1.1573850813063018,3.009201211396385,0.7715900542042013,0.46295403252252076,0.3857950271021006,0.7715900542042012,2.3147701626126036,0.7715900542042012,87.73860585482534
"Jacksonville, FL",987087.0,85.63016228559388,4.1941591774585225,0.18181791195672048,4.700700140919696,2.998722503690151,0.7902039029994317,1.3372681435374996,7.6285069097252824,0.008104655415378787,0.607849156153409,2.3908733475367416,1.3372681435374996,2.7150595641518933,0.5065409634611742,1.9248556611524619,3.545786744228219,0.4052327707689393,154.05232081670613
"Jersey City, NJ",309685.0,3.5213200510195843,2.357233963543601,0.11813454663633409,0.6458175242585208,1.743707315498006,0.0,0.0,2.421815715969453,0.0,1.9374525727755623,1.1301806674524113,0.839562781536077,0.6135266480455948,0.6458175242585208,3.5519963834218644,0.9687262863877811,0.0,140.8175411789399
"Kansas City, MO",522525.0,36.392517104444764,4.2294627051337255,0.09938693272984796,3.6553274962920437,3.5979139754078755,0.6506865700205732,0.6506865700205732,2.5070570786086788,0.015310272235778192,0.956892014736137,2.526194918903402,0.3827568058944548,2.5836084397875703,0.3827568058944548,2.6792976412611837,2.1051624324195015,0.956892014736137,247.98829098052727
"Laredo, TX",257795.0,9.492038247444675,4.073003743284393,0.03658627752941704,2.676545317015458,1.939525592040187,0.3103240947264299,0.3103240947264299,9.85279000756415,0.011637153552241122,3.103240947264299,3.1032409472642994,0.8533912604976823,1.2025058670649158,3.4911460656723365,3.879051184080374,3.4911460656723365,0.7758102368160747,87.65941628037781
"Las Vegas, NV",631154.0,23.72162736828096,1.8537472629500882,0.16491711185768573,1.1407675464308236,1.8695912566505164,0.8238876724222615,0.8238876724222615,16.335157505141378,0.011090795590299674,3.960998425107026,14.354658292587864,0.7288237102196927,1.6160873574436667,2.0597191810556534,5.386957858145555,2.6934789290727776,0.3168798740085621,47.51138251520231
"Lexington/Fayette, KY",327401.0,13.470881274033983,3.084902000910199,0.024363778988189283,3.8790351892633192,2.6878354067336385,0.9163075250228313,1.282830535031964,4.00120952593303,0.024434867333942168,2.1380508917199395,3.2987070900821927,0.6108716833485542,1.3439177033668193,1.2217433666971085,1.5271792083713855,1.5271792083713855,1.2217433666971085,111.62167189471016
"Lincoln, NE",286381.0,13.37260502617143,5.237777645863378,0.06267137971099873,2.8982369640444023,2.3046221641798863,0.6983703527817837,2.095111058345351,9.288325691997724,0.02444296234736243,1.7459258819544592,4.783836916555218,0.8380444233381404,2.269703646540797,0.6983703527817837,0.6983703527817837,3.1426665875180264,1.7459258819544592,133.09828083916182
"Long Beach, CA",460718.0,6.585373265207784,3.6030717271736723,0.09664574905233651,2.7348616724330284,2.995324688855222,0.7813890492665796,1.7364201094812879,2.9736194374867058,0.0217052513685161,2.3875776505367705,1.758125360849804,1.302315082110966,3.6464822299107045,2.17052513685161,0.21705251368516099,0.651157541055483,0.21705251368516099,130.32685701882713
"Los Angeles, CA",3903310.0,10.152416794976572,0.03586699493506793,0.13364054538035322,0.722463755120654,1.7216157568832604,0.06148627703154502,0.10760098480520378,2.8667976665957866,0.005123856419295418,0.3842892314471564,1.1374961250835829,0.8044454578293807,1.3962508742580015,0.7685784628943128,0.4355277956401105,1.5883954899815798,0.10247712838590838,96.72422845390194
"Louisville, KY",643855.0,27.74149459117348,2.050151043324972,0.08734187118889394,2.050151043324972,4.286679454224942,2.019088148729139,7.517220492191565,2.7024718298374637,0.013978302568124809,1.2425157838333165,3.292666827158289,0.5591321027249924,3.6343586677124504,0.6212578919166583,6.212578919166583,0.7765723648958228,0.4659434189374937,98.13775788337436
"Lubbock, TX",262327.0,13.273509779778673,3.163989981969069,0.03912139767428796,3.4308325105688704,2.515943841083838,0.0,0.0,3.2783510656546984,0.0,1.14361083685629,2.0966198675698653,0.38120361228543004,1.6010551715988062,0.38120361228543004,0.0,0.38120361228543004,0.7624072245708601,51.39205796582129
"Madison, WI",270742.0,26.132997466222456,10.341949161932762,0.1344781707942904,7.054686749746992,2.0683898323865524,0.4432263926542612,4.653877122869743,9.67710957295137,0.04801619253754497,4.062908599330728,7.054686749746992,0.2954842617695075,2.7332294213679447,0.7387106544237687,1.108065981635653,0.36935532721188435,0.7387106544237687,139.74071282992665
"Memphis, TN",623337.0,18.68162807598458,3.2406226487437775,0.06325717451884687,1.5721832652321297,2.5668298207871505,0.0,0.0,2.743299370966267,0.001604268637991969,0.9625611827951814,1.8288662473108446,1.1229880465943785,0.8983904372755027,0.3208537275983938,1.604268637991969,2.7272566845863473,0.3208537275983938,213.2745188313866
"Mesa, AZ",513964.0,4.896198955568872,4.338825287374213,0.028497157611034357,2.2375107984216793,0.505872006599684,0.8171778568148742,1.011744013199368,2.937948961405857,0.0019456615638449386,0.5836984691534816,1.459246172883704,0.23347938766139262,0.8755477037302223,0.3891323127689877,0.7782646255379754,1.7510954074604446,0.5836984691534816,166.0284934010942
"Miami, FL",454981.0,3.56498403230025,0.0219789397799029,0.07043293238959572,2.9891358100667937,2.109978218870678,0.30770515691864053,0.48353667515786375,3.604546123904075,0.0,2.4176833757893186,2.131957158650581,1.8901888210716493,3.318819906765338,0.0,1.5385257845932028,3.7364197625834925,0.21978939779902898,123.63024897083615
